id,model,fuel_percent,online,ignition,speed_mode,speed,signal_level,satellites,voltage,firmware_version,sim_operator,qr,status_group,alarms,updated,address,latitude,longitude,geozone,idle_time,calibration,company,imei_id,imei,iccid,color,roller,modification,created_at,hidden,summon_mode
188,Экоскат Кашалот,31 %,Да,Нет,2️⃣,0 км/ч,🟡 24,🟢 8 sat,"45,264 V",SCO-5.30,SIM,QR 188,на линии,No,🟢 <5 min,,55.926782,37.892182,Королев Тест,3 недели,42-53V,Королев [ИП Елизаров] [+],1010040815021842,,8970199240120336168,Малиновый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,Yes
210,Экоскат Кашалот,0 %,Нет,Нет,1️⃣,0 км/ч,🟡 32,🟢 9 sat,0 V,SCO-5.08,SIM,QR 210,-,Yes,🔴 >10 min,,55.926827,37.892172,Королев Тест,3 месяца,42-53V,Королев [ИП Елизаров] [+],1010040815022273,,8970199240120337885,Малиновый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
509,Экоскат Кашалот,0 %,Нет,Нет,4️⃣,0 км/ч,🟢 56,🟢 23 sat,0 V,SCO-5.28,SIM,QR 509,-,Yes,🔴 >10 min,,55.926833,37.892107,Королев Тест,3 месяца,42-53V,Королев [ИП Елизаров] [+],1010040815022838,,897010287687522920,Салатовый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
675,Экоскат Кашалот,100 %,Нет,Нет,4️⃣,"243,975 км/ч",🟢 56,🔴 0 sat,"65,392 V",SCO-5.30,SIM,QR 675,ремонт,Yes,🔴 >10 min,,0,0,,3 месяца,42-53V,Королев [ИП Елизаров] [+],1010040815022829,,897010287687521583,Голубой,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
1687,Экоскат Кашалот,0 %,Нет,Нет,0️⃣,0 км/ч,🟢 58,🔴 0 sat,"6,491 V",SCO2-1.72,SIM,QR 1687,на линии,No,🔴 >10 min,,0,0,,9 месяцев,42-53V,Королев [ИП Елизаров] [+],1010040815024687,,897010287662383827,Бирюзовый,Мягкий,,2025-09-23 13:11:53,❌ No,No
1691,Экоскат Кашалот,0 %,Нет,Нет,0️⃣,0 км/ч,🟡 48,🔴 0 sat,0 V,SCO2-1.75,SIM,QR 1691,-,No,🔴 >10 min,,0,0,,4 недели,42-53V,Королев [ИП Елизаров] [+],1010040815024691,,897010287662383272,Салатовый,Мягкий,Обычный,2025-09-23 13:11:53,❌ No,No
18,Экоскат Кашалот,100 %,Нет,Да,2️⃣,0 км/ч,🟢 64,🔴 0 sat,0 V,SCO-5.30,SIM,QR 18,-,No,🔴 >10 min,,0,0,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],1010040815022313,,89701011556034105796,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
21,Экоскат Кашалот,100 %,Нет,Нет,2️⃣,0 км/ч,🟡 36,🔴 0 sat,0 V,SCO-5.30,SIM,QR 21,-,No,🔴 >10 min,,0,0,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],1010040815022225,,8970199220443583514,Оранжевый,Мягкий,,2024-09-06 23:40:24,❌ No,No
25,Экоскат Кашалот,100 %,Нет,Нет,2️⃣,12 км/ч,🟢 64,🟢 13 sat,0 V,SCO-5.30,SIM,QR 25,-,No,🔴 >10 min,,54.623938,39.734497,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],1010040815022139,,8970199220443583555,Оранжевый,Мягкий,,2024-09-06 23:40:24,❌ No,No
29,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🟢 60,🟢 14 sat,0 V,SCO-5.30,SIM,QR 29,-,No,🔴 >10 min,,54.636738,39.765055,Рязань | Лесопарк,3 месяца,42-53V,Рязань [ИП Абрамов] [+],1010040815022118,,8970199220443588216,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
47,Экоскат Кашалот,70 %,Да,Нет,2️⃣,0 км/ч,🔴 4,🔴 0 sat,"50,496 V",SCO-5.08,SIM,QR 47,на линии,No,🟢 <5 min,,0,0,,3 месяца,42-53V,Рязань [ИП Абрамов] [+],1010040815021857,,8970199220443583779,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
167,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,1 км/ч,🔴 12,🔴 0 sat,0 V,SCO-5.30,SIM,QR 167,-,No,🔴 >10 min,,54.096258,38.228218,,3 месяца,42-53V,Рязань [ИП Абрамов] [+],1010040815022254,,8970199231003705660,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
169,Экоскат Кашалот,100 %,Нет,Нет,1️⃣,0 км/ч,🟢 72,🟢 15 sat,0 V,SCO-5.30,SIM,QR 169,-,No,🔴 >10 min,,54.632012,39.740878,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],1010040815022257,,8970199231003705686,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
170,Экоскат Кашалот,100 %,Нет,Нет,2️⃣,0 км/ч,🔴 12,🟢 17 sat,0 V,SCO-5.30,SIM,QR 170,-,No,🔴 >10 min,,54.610753,39.687407,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],1010040815021818,,8970199231003705694,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
174,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🔴 16,🔴 0 sat,0 V,SCO-5.30,SIM,QR 174,-,No,🔴 >10 min,,0,0,,3 месяца,42-53V,Рязань [ИП Абрамов] [+],1010040815021155,,8970199231003705736,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
180,Экоскат Кашалот,100 %,Нет,Нет,2️⃣,0 км/ч,🟢 68,🟢 14 sat,0 V,SCO-5.30,SIM,QR 180,-,No,🔴 >10 min,,54.631887,39.740897,,3 месяца,0-100 (100%),Рязань [ИП Абрамов] [+],"1,01004E+15",,8970199231003705793,Синий,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
33,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,7 км/ч,🟢 60,🟢 7 sat,"50,496 V",SCO-4.9997,SIM,QR 33,ремонт,Yes,🔴 >10 min,,54.638593,39.766280,Рязань | Лесопарк,1 год,42-53V,Рязань [ИП Калабухов] [+],1010040815021808,,89701018295050813198,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
38,Экоскат Кашалот,0 %,Нет,Нет,1️⃣,0 км/ч,🟡 44,🟢 14 sat,0 V,SCO-5.08,SIM,QR 38,на линии,No,🔴 >10 min,,54.636672,39.765345,Рязань | Лесопарк,3 месяца,42-53V,Рязань [ИП Калабухов] [+],1010040815021942,,8970199220443583688,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
5,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,3 км/ч,🟡 20,🟢 5 sat,0 V,SCO-5.08,SIM,QR 5,-,No,🔴 >10 min,,45.008407,39.082847,,4 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815021954,,897010287918408949,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
92,Экоскат Кашалот,64 %,Нет,Нет,2️⃣,0 км/ч,🟢 80,🟢 14 sat,0 V,SCO-5.08,SIM,QR 92,на линии,No,🔴 >10 min,,43.667263,40.260398,Красная поляна | ИШ,4 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022125,,897010287918408022,Синий,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
100,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,80 км/ч,🔴 16,🟢 12 sat,0 V,SCO-5.08,SIM,QR 100,-,No,🔴 >10 min,,43.308360,41.635375,,1 год,42-53V,Красная Поляна [ООО ИШ] [+],1010040815021149,,897010287918408279,Малиновый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
104,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,2 км/ч,🔴 16,🟢 14 sat,0 V,SCO-5.08,SIM,QR 104,-,No,🔴 >10 min,,45.008218,39.082848,,5 месяцев,42-53V,Красная Поляна [ООО ИШ] [+],"1,01004E+15",,897010287918408121,Малиновый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
110,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🟡 24,🔴 0 sat,"45,792 V",SCO-5.08,SIM,QR 110,-,No,🔴 >10 min,,0,0,,3 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022291,,897010287918408113,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
133,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,2 км/ч,🟡 24,🟢 14 sat,0 V,SCO-5.08,SIM,QR 133,-,No,🔴 >10 min,,45.008240,39.082853,,3 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022224,,897010287918408915,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
139,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🔴 16,🔴 0 sat,"46,656 V",SCO-5.08,SIM,QR 139,-,No,🔴 >10 min,,0,0,,1 год,42-53V,Красная Поляна [ООО ИШ] [+],1010040815021822,,897010287918408295,Синий,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
141,Экоскат Кашалот,0 %,Нет,Нет,1️⃣,0 км/ч,🟡 24,🟢 14 sat,0 V,SCO-5.08,SIM,QR 141,-,No,🔴 >10 min,,45.008203,39.082765,,5 месяцев,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022009,,897010287918408782,Оранжевый,Мягкий,Обычный,2024-09-06 23:40:24,❌ No,No
155,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🔴 2,🟢 8 sat,0 V,SCO-5.08,SIM,QR 155,-,No,🔴 >10 min,,45.008280,39.082702,,3 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022289,,897010287918408790,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
166,Экоскат Кашалот,61 %,Нет,Нет,2️⃣,1 км/ч,🟡 32,🟢 10 sat,"49,344 V",SCO-5.08,SIM,QR 166,-,No,🔴 >10 min,,45.009287,39.141145,,1 год,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022282,,897010287918408824,Малиновый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
171,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,1 км/ч,🟡 28,🟢 7 sat,0 V,SCO-5.08,SIM,QR 171,-,No,🔴 >10 min,,45.008272,39.082788,,3 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815021143,,897010287918408170,Оранжевый,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
176,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,0 км/ч,🔴,🟢 7 sat,0 V,SCO-5.08,SIM,QR 176,-,No,🔴 >10 min,,45.008328,39.082735,,3 месяца,42-53V,Красная Поляна [ООО ИШ] [+],1010040815022278,,897010287918408345,Синий,Средний,Обычный,2024-09-06 23:40:24,❌ No,No
1027,Экоскат Кашалот,0 %,Нет,Нет,5️⃣,2 км/ч,🟢 55,🔴 0 sat,243 V,SCO2-1.66,SIM,QR 1027,"тест, ремонт",No,🔴 >10 min,,0,0,,3 месяца,42-53V,Киров Детский [ИП Колупаев] [+],1010040815024027,,897010287662380153,Фиолетовый,Жесткий,Обычный,2025-09-23 13:11:53,❌ No,No
1072,Экоскат Кашалот,0 %,Нет,Нет,5️⃣,6 км/ч,🟢 55,🔴 0 sat,529 V,SCO2-1.68,SIM,QR 1072,"тест, ремонт",No,🔴 >10 min,,0,0,,3 месяца,42-53V,Киров Детский [ИП Колупаев] [+],1010040815024072,,897010287662380658,Голубой,Мягкий,Обычный,2025-09-23 13:11:53,❌ No,No
1489,Экоскат Кашалот,0 %,Нет,Нет,5️⃣,10 км/ч,🟡 45,🔴 0 sat,529 V,SCO2-1.66,SIM,QR 1489,"тест, ремонт",No,🔴 >10 min,,0,0,,3 месяца,42-53V,Киров Детский [ИП Колупаев] [+],1010040815024489,,897010287662381607,Салатовый,Мягкий,Обычный,2025-09-23 13:11:53,❌ No,No
1729,Экоскат Кашалот,0 %,Нет,Нет,5️⃣,20 км/ч,🟡 42,🔴 0 sat,484 V,SCO2-1.66,SIM,QR 1729,"тест, ремонт",No,🔴 >10 min,,0,0,,3 месяца,42-53V,Киров Детский [ИП Колупаев] [+],1010040815024729,,897010287662383959,Голубой,Мягкий,Обычный,2025-09-23 13:11:53,❌ No,No
900,Экоскат Кашалот,78 %,Нет,Да,2️⃣,0 км/ч,🟡 40,🟢 9 sat,"51,408 V",,SIM,QR 900,-,No,🔴 >10 min,,43.290202,41.623637,,1 год,42-53V,Архыз [ИП Акименко] [-],0,,,,,,2024-09-06 23:40:24,❌ No,No
14,Экоскат Кашалот,0 %,Нет,Нет,4️⃣,0 км/ч,🟡 24,🔴 0 sat,0 V,SCO-5.28,SIM,QR 14,-,No,🔴 >10 min,,0,0,,3 месяца,42-53V,Щелково [ИП Багно] [+],1010040815022347,,897010269986523650,,,,2024-11-24 16:42:14,❌ No,No
58,Экоскат Кашалот,100 %,Нет,Нет,4️⃣,0 км/ч,🟢 68,🟢 12 sat,"65,407 V",SCO-5.28,SIM,QR 58,-,No,🔴 >10 min,,55.926365,37.990311,,3 месяца,42-53V,Щелково [ИП Багно] [+],1010040815021146,,897010262730587923,,,,2024-09-06 23:40:24,❌ No,No
60,Экоскат Кашалот,0 %,Нет,Нет,2️⃣,100 км/ч,🟢 60,🟢 27 sat,0 V,SCO-5.28,SIM,QR 60,-,No,🔴 >10 min,,54.170387,33.229949,,3 месяца,42-53V,Щелково [ИП Багно] [+],1010040815022879,,897010269986523676,Малиновый,,,2024-09-06 23:40:24,❌ No,No
201,Экоскат Кашалот,0 %,Нет,Нет,4️⃣,0 км/ч,🟢 72,🟢 15 sat,"41,264 V",SCO-5.28,SIM,QR 201,-,No,🔴 >10 min,,55.894890,37.458770,Химки | Парк Толстова,3 месяца,42-53V,Щелково [ИП Багно] [+],1010040815021841,,897010269986523809,,,,2024-09-06 23:40:24,❌ No,No
